date,BL15,trend,season,resid
2016/8/30,94412,98333.94564,-3551.551095,-370.394542
2016/8/31,95054,97718.10396,-1982.745964,-681.3579957
2016/9/1,95304,97275.75726,422.6762118,-2394.433474
2016/9/2,106791,97010.72748,9868.46606,-88.19354427
2016/9/3,108045,96932.4272,13335.5627,-2222.989899
2016/9/4,86846,97009.30697,-10490.3897,327.0827242
2016/9/5,90216,97255.52523,-6526.53986,-512.9853738
2016/9/6,92887,97656.51745,-4142.736193,-626.7812611
2016/9/7,94507,98145.6776,-2954.407941,-684.2696598
2016/9/8,99957,98667.4607,-356.7471766,1646.286473
2016/9/9,107941,99214.32242,9719.590431,-992.9128558
2016/9/10,115263,99762.58955,14745.25905,755.1513907
2016/9/11,94408,100271.6276,-9657.450267,3793.822638
2016/9/12,93887,99685.59517,-6435.898411,637.303243
2016/9/13,97928,97765.81397,-4542.100296,4704.28633
2016/9/14,88005,96761.90504,-3429.295632,-5327.609404
2016/9/15,76061,96123.53107,-1314.548107,-18747.98297
2016/9/16,95137,95297.68301,9741.025957,-9901.708968
2016/9/17,60748,93924.54846,15314.50392,-48491.05238
2016/9/18,82872,92173.85497,-9039.664224,-262.1907439
2016/9/19,85178,91936.18467,-6526.00779,-232.1768838
2016/9/20,87954,92577.73254,-4341.426633,-282.3059117
2016/9/21,89762,93258.18662,-3106.031034,-390.1555858
2016/9/22,91107,93905.69779,-2280.27955,-518.4182365
2016/9/23,104954,94482.42027,10101.26439,370.3153368
2016/9/24,112178,94781.79909,15323.72371,2072.477195
2016/9/25,86979,94783.88263,-9191.970026,1387.087394
2016/9/26,88535,94722.01826,-6863.055235,676.0369764
2016/9/27,7435,94657.61227,-4294.772337,-82927.83993
2016/9/28,75615,94622.46348,-2734.268929,-16273.19455
2016/9/29,90161,94628.92561,-2631.038072,-1836.887538
2016/9/30,104871,94677.91597,10791.79132,-598.7072912
2016/10/1,108111,94876.83762,14607.00825,-1372.845875
2016/10/2,84241,95450.05871,-8350.989547,-2858.069159
2016/10/3,88439,96294.8776,-7400.865211,-455.0123915
2016/10/4,94305,97106.00796,-4670.220016,1869.212054
2016/10/5,96686,97791.78344,-2631.500974,1525.717533
2016/10/6,98192,98307.94639,-2198.286907,2082.340518
2016/10/7,110530,98652.26626,11213.68815,664.0455993
2016/10/8,112551,98847.2061,14070.9976,-367.2036982
2016/10/9,96737,98919.11771,-7936.228307,5754.110602
2016/10/10,91700,98889.68592,-7733.023009,543.3370925
2016/10/11,92468,98809.39891,-4841.320124,-1500.07879
2016/10/12,95619,98583.58241,-2839.200956,-125.3814564
2016/10/13,97267,98177.50831,-2016.233038,1105.72473
2016/10/14,110858,97660.71214,11020.05417,2177.233686
2016/10/15,117198,97082.88455,14222.06774,5893.04771
2016/10/16,91290,96517.93732,-7368.604079,2140.666762
2016/10/17,86434,95971.17528,-7497.750656,-2039.424622
2016/10/18,89716,95348.6584,-4856.420095,-776.238304
2016/10/19,90280,94740.19265,-3844.561388,-615.6312624
2016/10/20,91122,94393.59318,-2322.15267,-949.4405049
2016/10/21,103897,94319.07257,11077.00429,-1499.076869
2016/10/22,109727,94312.44061,14612.22836,802.3310296
2016/10/23,85885,94296.68881,-6798.803032,-1612.885776
2016/10/24,89103,94260.40125,-7352.2533,2194.85205
2016/10/25,92143,94264.00615,-4576.355295,2455.349149
2016/10/26,89843,94283.48529,-4621.087568,180.6022781
2016/10/27,91002,94287.03796,-2915.38342,-369.6545378
2016/10/28,103173,94277.08654,11362.50398,-2466.590529
2016/10/29,108055,94290.55699,14866.11762,-1101.674615
2016/10/30,88120,94392.91985,-7940.616161,1667.696313
2016/10/31,86518,94666.20359,-6239.054071,-1909.149519
2016/11/1,89842,95092.88703,-4636.95461,-613.9324155
2016/11/2,90066,95637.33127,-5429.536569,-141.7947059
2016/11/3,93165,96260.28094,-2442.767837,-652.5131011
2016/11/4,110276,96949.3512,12888.66129,437.9875167
2016/11/5,112868,97755.49336,14775.36384,337.1427947
2016/11/6,89090,98575.89787,-9121.860642,-364.0372305
2016/11/7,90405,102529.9705,-4941.856704,-7183.11381
2016/11/8,92363,109522.3216,-5402.130702,-11757.19094
2016/11/9,94494,113742.4053,-5656.924665,-13591.48065
2016/11/10,139304,117511.9306,-1505.157113,23297.22648
2016/11/11,171579,121362.0169,11845.79037,38371.19272
2016/11/12,153187,128574.3409,14698.06359,9914.595548
2016/11/13,122516,133222.39,-9702.217874,-1004.172122
2016/11/14,127960,130924.4066,-4501.036296,1536.629718
2016/11/15,114308,128575.7251,-5698.400339,-8569.324798
2016/11/16,127256,125792.0932,-5528.694418,6992.601213
